schoolid,schoolname,address_street,address_city,address_state,schooltotalstudents
7525,Riverdale / Kingsbridge Academy,660 WEST 237 STREET,BRONX,NY,1381
7726,Bronx Guild,"1980 LAFAYETTE AVENUE
",BRONX,NY,326
7554,August Martin High School,"156-10 BAISLEY BOULEVARD",QUEENS,NY,679
7601,Baruch College Campus High School,"55 EAST 25 STREET
",MANHATTAN,NY,451
7637,"Automotive High School","50 BEDFORD AVENUE",BROOKLYN,NY,383
7811,"Academy for Environmental Leadership",400 IRVING AVENUE,BROOKLYN,NY,340
